"datetime, frame_num, object_id, class_id"
"2022-11-16 00:03:47.398540, 1, [], []"
"2022-11-16 00:03:47.477520, 2, [], []"
"2022-11-16 00:03:47.556063, 3, [], []"
"2022-11-16 00:03:47.618823, 4, [], []"
"2022-11-16 00:03:47.696246, 5, [], []"
"2022-11-16 00:03:47.773823, 6, [], []"
"2022-11-16 00:03:47.836336, 7, [], []"
"2022-11-16 00:03:47.913333, 8, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:47.991181, 9, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.070298, 10, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.148429, 11, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.227001, 12, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.306225, 13, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.368416, 14, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.430648, 15, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.508296, 16, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.585341, 17, [3, 2, 1], [2, 7, 7]"
"2022-11-16 00:03:48.663289, 18, [3, 2, 1, 4], [2, 7, 7, 2]"
"2022-11-16 00:03:48.741241, 19, [3, 2, 1, 4], [2, 7, 7, 2]"
"2022-11-16 00:03:48.819564, 20, [3, 2, 1, 4], [2, 7, 7, 2]"
"2022-11-16 00:03:48.895845, 21, [3, 2, 1, 4], [2, 7, 7, 2]"
"2022-11-16 00:03:48.973222, 22, [3, 2, 1, 4], [2, 7, 7, 2]"
"2022-11-16 00:03:49.035413, 23, [3, 2, 1, 4], [2, 7, 7, 2]"
"2022-11-16 00:03:49.113890, 24, [3, 2, 1, 4], [2, 7, 7, 2]"
"2022-11-16 00:03:49.191281, 25, [3, 2, 1, 4, 5], [2, 7, 7, 2, 2]"
"2022-11-16 00:03:49.269542, 26, [3, 2, 1, 4, 5], [2, 7, 7, 2, 2]"
"2022-11-16 00:03:49.347752, 27, [3, 2, 1, 4, 5], [2, 7, 7, 2, 2]"
"2022-11-16 00:03:49.424090, 28, [3, 2, 1, 4, 5], [2, 7, 7, 2, 2]"
"2022-11-16 00:03:49.501313, 29, [3, 2, 1, 4, 5], [2, 7, 7, 2, 2]"
"2022-11-16 00:03:49.578174, 30, [3, 2, 1, 4, 5], [2, 7, 7, 2, 2]"
"2022-11-16 00:03:49.656085, 31, [3, 2, 1, 4, 5], [2, 7, 7, 2, 2]"
"2022-11-16 00:03:49.733280, 32, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:49.809255, 33, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:49.886890, 34, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:49.963833, 35, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.041914, 36, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.119936, 37, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.198218, 38, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.275391, 39, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.338421, 40, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.414906, 41, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.492959, 42, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.568755, 43, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.647245, 44, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.724648, 45, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.801949, 46, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.880773, 47, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:50.959079, 48, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.036955, 49, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.113813, 50, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.191906, 51, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.269793, 52, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.348011, 53, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.425728, 54, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.503147, 55, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.580023, 56, [3, 2, 1, 4, 5, 6], [7, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.658124, 57, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.734916, 58, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.811990, 59, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 7, 2]"
"2022-11-16 00:03:51.890163, 60, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:51.968146, 61, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:52.045725, 62, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:52.123090, 63, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:52.200605, 64, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:52.277833, 65, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:52.356185, 66, [3, 2, 1, 4, 5, 6], [2, 7, 7, 2, 2, 2]"
"2022-11-16 00:03:52.434161, 67, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:52.513001, 68, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:52.591699, 69, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:52.668780, 70, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:52.747508, 71, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:52.824846, 72, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:52.902341, 73, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:52.981324, 74, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:53.057736, 75, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:53.135526, 76, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:53.214329, 77, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:53.292559, 78, [3, 1, 4, 5, 6], [2, 7, 2, 2, 2]"
"2022-11-16 00:03:53.371227, 79, [3, 1, 4, 5, 6, 7], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:53.449201, 80, [3, 1, 4, 5, 6, 7], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:53.526661, 81, [3, 1, 4, 5, 6, 7], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:53.603607, 82, [3, 1, 4, 5, 6, 7], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:53.682024, 83, [3, 1, 4, 5, 6, 7], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:53.760157, 84, [3, 1, 4, 5, 6, 7], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:53.837196, 85, [3, 1, 4, 5, 6, 7], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:53.914895, 86, [3, 1, 4, 5, 6, 7], [7, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:53.992759, 87, [3, 1, 4, 5, 6, 7], [7, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:54.070958, 88, [3, 1, 4, 5, 6, 7], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:54.148456, 89, [3, 1, 4, 5, 6, 7], [7, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:54.226619, 90, [3, 1, 4, 5, 6, 7], [7, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:54.305232, 91, [3, 1, 4, 5, 6, 7], [7, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:54.383558, 92, [3, 1, 4, 5, 6, 7], [7, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:54.460958, 93, [3, 1, 4, 5, 6, 7, 8], [7, 7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:54.539020, 94, [3, 1, 4, 5, 6, 7, 8], [7, 7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:54.615638, 95, [3, 1, 4, 5, 6, 7, 8], [7, 7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:54.693361, 96, [3, 1, 4, 5, 6, 7, 8], [7, 7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:54.771808, 97, [3, 1, 4, 5, 6, 7, 8], [7, 7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:54.849361, 98, [3, 1, 4, 5, 6, 7, 8], [7, 7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:54.925830, 99, [3, 1, 4, 5, 6, 7, 8], [7, 7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.004014, 100, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.081617, 101, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.157878, 102, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.235451, 103, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.312908, 104, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.389629, 105, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.466702, 106, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.543717, 107, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.621496, 108, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.699241, 109, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.775886, 110, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.853702, 111, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:55.931669, 112, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.007713, 113, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.087530, 114, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.164287, 115, [3, 4, 5, 6, 7, 8], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.243219, 116, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.320612, 117, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.397838, 118, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.475903, 119, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.552722, 120, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.631191, 121, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.710123, 122, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.789286, 123, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.865704, 124, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:56.943569, 125, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:57.021074, 126, [4, 5, 6, 7, 8], [2, 2, 2, 2, 2]"
"2022-11-16 00:03:57.097991, 127, [4, 5, 6, 7, 8], [2, 2, 7, 2, 2]"
"2022-11-16 00:03:57.175471, 128, [4, 5, 6, 7, 8], [2, 2, 7, 2, 2]"
"2022-11-16 00:03:57.253528, 129, [4, 5, 6, 7, 8], [2, 2, 7, 2, 2]"
"2022-11-16 00:03:57.330360, 130, [4, 5, 6, 7, 8], [2, 2, 7, 2, 2]"
"2022-11-16 00:03:57.408834, 131, [4, 5, 6, 7, 8], [2, 2, 7, 2, 2]"
"2022-11-16 00:03:57.484623, 132, [4, 5, 6, 7, 8], [2, 2, 7, 2, 2]"
"2022-11-16 00:03:57.561325, 133, [4, 5, 6, 7, 8], [2, 2, 7, 2, 2]"
"2022-11-16 00:03:57.640202, 134, [4, 5, 6, 7, 8], [2, 2, 7, 2, 2]"
"2022-11-16 00:03:57.716786, 135, [4, 5, 6, 7, 8, 9], [2, 2, 7, 2, 2, 2]"
"2022-11-16 00:03:57.794380, 136, [4, 5, 6, 7, 8, 9], [2, 2, 7, 2, 2, 2]"
"2022-11-16 00:03:57.871647, 137, [4, 5, 6, 7, 8, 9], [2, 2, 7, 2, 2, 2]"
"2022-11-16 00:03:57.949695, 138, [4, 5, 6, 7, 8, 9], [2, 2, 7, 2, 2, 2]"
"2022-11-16 00:03:58.026978, 139, [4, 5, 6, 7, 8, 9], [2, 2, 7, 2, 2, 2]"
"2022-11-16 00:03:58.106053, 140, [4, 5, 6, 7, 8, 9], [2, 2, 7, 2, 2, 2]"
"2022-11-16 00:03:58.181756, 141, [4, 5, 6, 7, 8, 9, 10], [2, 2, 7, 2, 2, 2, 7]"
"2022-11-16 00:03:58.259268, 142, [4, 5, 6, 7, 8, 9, 10], [2, 2, 7, 2, 2, 2, 7]"
"2022-11-16 00:03:58.337121, 143, [4, 5, 6, 7, 8, 9, 10], [2, 2, 7, 2, 2, 2, 7]"
"2022-11-16 00:03:58.415117, 144, [4, 5, 6, 7, 8, 9, 10], [2, 2, 7, 2, 2, 2, 7]"
"2022-11-16 00:03:58.492873, 145, [4, 5, 6, 7, 8, 9, 10], [2, 2, 7, 2, 2, 2, 7]"
"2022-11-16 00:03:58.571128, 146, [4, 5, 6, 7, 8, 9, 10], [2, 2, 7, 2, 2, 2, 7]"
"2022-11-16 00:03:58.649045, 147, [4, 5, 6, 7, 8, 9, 10], [2, 2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:58.727104, 148, [4, 5, 6, 7, 8, 9, 10], [2, 2, 7, 2, 2, 2, 2]"
"2022-11-16 00:03:58.804596, 149, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:58.882995, 150, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:58.960907, 151, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.038731, 152, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.116282, 153, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.194820, 154, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.272885, 155, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.349817, 156, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.427481, 157, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.504266, 158, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.582263, 159, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.659227, 160, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.736702, 161, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.814411, 162, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.891163, 163, [4, 5, 7, 8, 9, 10], [2, 2, 2, 2, 2, 2]"
"2022-11-16 00:03:59.968247, 164, [4, 5, 7, 8, 9, 10], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:04:00.047087, 165, [4, 5, 7, 8, 9, 10], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:04:00.124826, 166, [4, 5, 7, 8, 9, 10], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:04:00.203205, 167, [4, 5, 7, 8, 9, 10], [2, 7, 2, 2, 2, 2]"
"2022-11-16 00:04:00.281511, 168, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:00.358375, 169, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:00.436545, 170, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:00.513801, 171, [5, 7, 8, 9, 10], [7, 2, 2, 2, 7]"
"2022-11-16 00:04:00.592557, 172, [5, 7, 8, 9, 10], [7, 2, 2, 2, 7]"
"2022-11-16 00:04:00.670077, 173, [5, 7, 8, 9, 10], [7, 2, 2, 2, 7]"
"2022-11-16 00:04:00.749288, 174, [5, 7, 8, 9, 10], [7, 2, 2, 2, 7]"
"2022-11-16 00:04:00.827181, 175, [5, 7, 8, 9, 10], [7, 2, 2, 2, 7]"
"2022-11-16 00:04:00.904086, 176, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:00.982075, 177, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.059839, 178, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.137253, 179, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.214830, 180, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.293172, 181, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.370654, 182, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.447073, 183, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.524912, 184, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.601789, 185, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.677748, 186, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.755708, 187, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.834817, 188, [5, 7, 8, 9, 10], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:01.913016, 189, [5, 7, 8, 9, 10, 11], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:04:01.991610, 190, [5, 8, 9, 10, 11], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:02.069209, 191, [5, 8, 9, 10, 11], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:02.146051, 192, [5, 8, 9, 10, 11], [7, 2, 2, 2, 2]"
"2022-11-16 00:04:02.223004, 193, [5, 8, 9, 10, 11, 12], [7, 2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.302159, 194, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.380895, 195, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.458074, 196, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.535775, 197, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.612325, 198, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.692371, 199, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.770780, 200, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.847535, 201, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:02.925001, 202, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
"2022-11-16 00:04:03.004339, 203, [8, 9, 10, 11, 12], [2, 2, 2, 2, 2]"
